productId,brandName,productName,price,discountRate,currentlyViewing,currentlyBuying,ranking,trending,colors,date
4529877,무센트,시그니처 체크 머플러 (34컬러),25260,41,2100,189,1,1,,20241127
4577320,더콜디스트모먼트,TCM mini logo stripe muffler (black/grey),50150,15,330,47,2,0,black | grey,20241127
4451730,마리떼,CLASSIC LOGO FLUFFY MUFFLER ivory,55300,30,761,40,3,0,,20241127
4604545,노스페이스,NE3CQ61A 익스페디션 이어머프 캡_BLACK,79000,0,252,0,4,0,black,20241127
4451728,마리떼,CLASSIC LOGO MUFFLER stripe,55300,30,80,36,5,0,,20241127
4577301,더콜디스트모먼트,TCM starfish mini logo gloves (4 colors),24650,15,375,47,6,0,,20241127
4488513,락피쉬웨더웨어,WOOLY TWOTONE SHORT GLOVES - 6 colors,30800,19,15,54,7,1,,20241127
4537642,더니트컴퍼니,울 캐시미어 숏 머플러 6color,43800,36,188,35,8,0,,20241127
4354515,팬시클럽,바니 트루퍼 비니 (IVORY)_F24ZE914,36800,25,215,31,9,0,,20241127
4451722,마리떼,CLASSIC LOGO MUFFLER ivory,55300,30,45,0,10,0,,20241127
4435634,버버리,빈티지 체크 캐시미어 스카프 - 아카이브 베이지 / 8076576,499990,46,13,0,11,0,,20241127
4549950,노스페이스,NE3CQ52J 화이트라벨 왁스 코튼 이어머프 캡,62090,10,289,0,12,0,화이트,20241127
4550128,락피쉬웨더웨어,WOOLY TWOTONE LONG GLOVES - 2 colors,32400,19,61,0,13,1,,20241127
4527940,노스페이스,NE3BQ53A 플리스 이어머프 비니_BLACK,43000,0,161,0,14,0,black,20241127
4551590,락피쉬웨더웨어,[HOLIDAY EDITION] WOOLY TWOTONE SHORT GLOVES - 2 colors,29800,22,11,0,15,1,,20241127
4488412,락피쉬웨더웨어,CABLE FUR KNIT EARMUFF - 4 colors,28500,29,109,39,16,0,,20241127
4488528,락피쉬웨더웨어,NEW FLUFFY LONG GLOVES - 9 colors,24800,20,237,45,17,0,,20241127
4550110,락피쉬웨더웨어,WOOLY TWOTONE MUFFLER - 2 colors,33800,20,729,31,18,0,,20241127
4451734,마리떼,CLASSIC LOGO FLUFFY MUFFLER brown,55300,30,52,0,19,0,brown,20241127
4291662,리에티,ERICA RT 1018 4colors,18060,54,145,94,20,0,,20241127
4488529,락피쉬웨더웨어,NEW FLUFFY SHORT GLOVES - 9 colors,19900,29,165,107,21,0,,20241127
4550137,락피쉬웨더웨어,WOOLY TWOTONE SHORT GLOVES - 2 colors,30800,19,155,0,22,0,,20241127
4577311,더콜디스트모먼트,TCM mini logo stripe muffler (sky blue/grey),50150,15,132,0,23,0,blue | grey,20241127
4465581,베리시,웜시스루 스타킹,17900,46,103,44,24,0,,20241127
4489903,락피쉬웨더웨어,STRIPE SHAGGY MUFFLER - 8 colors,42800,18,118,0,25,0,,20241127
4477526,마리떼,CIRCLE LOGO LONG GLOVE charcoal,41300,30,17,0,26,0,charcoal,20241127
4451746,마리떼,CLASSIC LOGO FLUFFY GLOVE ivory,34300,30,29,0,27,0,,20241127
4532260,더니트컴퍼니,캐시미어 100 머플러 8color,99000,10,50,0,28,0,,20241127
4215463,앵브록스,cotton candy muffler_blue,30400,20,341,0,29,0,blue,20241127
4508051,오헤시오,"DOT PATTERN MUFFLER, GRAY BLACK",98000,0,166,0,30,0,black,20241127
4477511,마리떼,REGULAR LOGO FUZZY KNIT MUFFLER navy,63200,20,178,0,31,0,navy,20241127
4618406,무센트,[2PACK] 시그니처 체크 머플러 (34컬러),55900,40,83,0,32,0,,20241127
4503438,노스페이스,NE3CQ54K 화이트라벨 플리스 이어머프 캡_WHITE SAND,53090,10,35,0,33,0,white | 화이트,20241127
4454704,터치소울,[기프트백 증정] 딥 코지 단추 바라클라바 - 3 Colors,28500,41,92,0,34,0,,20241127
4451723,마리떼,CLASSIC LOGO MUFFLER brown,55300,30,39,0,35,0,brown,20241127
4488511,락피쉬웨더웨어,WOOLY TWOTONE LONG GLOVES - 6 colors,32400,19,74,0,36,0,,20241127
4479860,드로우핏,소프트 리브드 니트 머플러 [4color],28050,15,320,46,37,0,,20241127
4503422,노스페이스,NE3CQ56J 화이트라벨 퍼피 플리스 이어머프 EX 캡,69000,0,166,0,38,0,화이트,20241127
4624459,앵브록스,[시그니처 특가] cotton candy muffler_3 colors,26600,30,239,0,39,0,,20241127
4559230,노스페이스,NE3CQ62B 플리스 이어머프 EX 캡_COCOA BROWN,59000,0,85,0,40,0,brown,20241127
4578455,노스페이스,NE3BQ53B 플리스 이어머프 비니_SAND SHELL,43000,0,111,0,41,0,,20241127
4408449,아미,화이트 빅하트 로고 오버사이즈 머플러 - 다크 그레이 / USF422AW0054061,233990,61,116,0,42,0,그레이 | 화이트,20241127
4451743,마리떼,CLASSIC LOGO GLOVE melange gray,39200,20,215,0,43,0,,20241127
4504879,오드스튜디오,Odsd 스트라이프 니트 머플러 - 4COLOR,17800,54,435,55,44,0,,20241127
4445332,에이이에이이,EARFLAP BEANIE [BLACK],58650,15,88,0,45,0,black,20241127
4515555,마리끌레르,배색체크 브러쉬 니트 머플러(MAEDSC03MBK),44000,25,139,0,46,0,,20241127
4469402,오클리,(공용) 엘립스 리브드 비니 - 블랙아웃 / FOS90128402E,38990,20,39,0,47,0,블랙,20241127
4477515,마리떼,REGULAR LOGO CHECK CHUNKY MUFFLER coral pink,71200,20,25,0,48,0,,20241127
4464938,팔렛,알파카 부클 니트 바라클라바 라이트 그레이,44250,25,65,0,49,0,그레이,20241127
4451732,마리떼,CLASSIC LOGO FLUFFY MUFFLER red,55300,30,315,0,50,0,,20241127
4451738,마리떼,REGULAR LOGO TIE MUFFLER black,34300,30,300,0,51,0,black,20241127
4474051,마틴콕스,Check muffler 체크머플러 - 9color,17500,56,455,70,52,0,,20241127
4451749,마리떼,CLASSIC LOGO FLUFFY GLOVE brown,34300,30,14,0,53,0,brown,20241127
4237500,버버리,자이언트 체크 캐시미어 머플러 - 그레이 / 8077881,469990,41,12,0,54,0,그레이,20241127
4273273,헌터,[UNISEX] 플레이 톨 부츠삭스 - 헌터화이트 UAS3418RPYHWT,46550,5,29,0,55,0,화이트,20241127
4549021,어다울,Shibori hairy soft long muffler - 5color,36550,15,97,0,56,0,,20241127
4260072,가니,프린지 울 머플러 - 에그렛 / A3909135,118990,48,25,0,57,0,,20241127
4488514,락피쉬웨더웨어,NEW FLUFFY KNIT MUFFLER - 8 colors,26800,19,274,30,58,0,,20241127
4451763,마리떼,CIRCLE LOGO PADDING HEART KEYRING black,23200,20,12,0,59,0,black,20241127
4351487,미세키서울,Button knit leg warmer CHARCOAL,47700,10,48,0,60,0,charcoal,20241127
4486583,리,트루퍼햇 베이지,53100,10,48,0,61,0,,20241127
4477510,마리떼,REGULAR LOGO FUZZY KNIT MUFFLER ivory,63200,20,146,0,62,0,,20241127
4479876,드로우핏,에센셜 핑거홀 니트 글러브 [3color],23800,15,135,0,63,0,,20241127
4408138,비비안 웨스트우드,그레이스 바스 릴리프 목걸이 - 플래티늄:크리스탈 / 6302009202P116,154990,59,99,0,64,0,그레이,20241127
4555218,펜디,FF 캐시미어 자카드 머플러 - 페일 그레이 / FXT260A8RSF0QG1,759990,41,0,0,65,0,그레이,20241127
4577317,더콜디스트모먼트,TCM mini logo stripe muffler (brown/cream),50150,15,138,0,66,0,brown,20241127
4215461,앵브록스,cotton candy muffler_white,30400,20,122,0,67,0,white,20241127
4513352,비비안 웨스트우드,시모네타 바스 릴리프 목걸이 - 플래티늄:크림로즈 펄:화이트 / 6302032202P113,149990,61,77,0,68,0,화이트,20241127
4440730,폴로 랄프 로렌,케이블 니트 울 블렌드 터치 글로브-블랙,99000,0,21,0,69,0,블랙,20241127
4418613,이미스,TONE ON TONE WAPPEN BALL CAP-BLACK,49000,0,61,0,70,0,black,20241127
4318750,마리떼,MARI KEYRING red,31200,20,10,0,71,0,,20241127
4318749,마리떼,MARI KEYRING green,31200,20,196,0,72,0,green,20241127
4202585,질 샌더,100% 캐시미어 스카프 - 네추럴 / J02TE0001J13201107,694000,55,0,0,73,0,,20241127
4316951,이스페이스,스페이스 워치,46000,0,42,0,74,0,,20241127
4513376,메종 키츠네,볼드 폭스 헤드 더블 페이스 스카프 - 그린 / NM06201WA0018P391,131990,61,10,0,75,0,그린,20241127
