productId,brandName,productName,price,discountRate,currentlyViewing,currentlyBuying,ranking,trending,colors,date,category
4562697,뉴발란스,NBXDFA501M / MEN 코어 모달  드로즈 블랙 5PACK,29940,40,815,255,1,0,블랙,2024120120,underwears
4322112,캘빈클라인 언더웨어,남성 마이크로 스트레치 로우라이즈 트렁크 3PK_NB2569Q7E,43200,51,218,65,2,1,,2024120120,underwears
4512577,코데즈컴바인 이너웨어,톤온톤 컬러밴딩 노와이어 브라팬티세트 - 4Colors,24700,57,395,108,3,0,,2024120120,underwears
4401877,오프아워,버터 크림 긴팔 파자마 세트,19900,65,423,47,4,1,,2024120120,underwears
4401675,오프아워,세린 나이트 수면 잠옷 세트 4colors,23330,59,230,71,5,0,,2024120120,underwears
4276526,캘빈클라인 언더웨어,남성 모던 코튼 트렁크 3PK_NB3963MP1,48200,43,62,0,6,0,,2024120120,underwears
4593068,핑크존,[2PACK]커플용 허쉬 체크 면기모 투피스 네이비그린_네이비레드,39900,39,101,0,7,0,그린 | 네이비,2024120120,underwears
4337389,도씨,실크핏 웬즈데이 긴팔 커플 잠옷 세트,27800,44,58,0,8,0,,2024120120,underwears
4252685,캘빈클라인 언더웨어,남성 EU 코튼 스트레치 3PK 로우 라이즈 트렁크 3PK_U2664001,47900,44,97,0,9,0,,2024120120,underwears
4230615,파리 생제르맹,남성 시그니처 심리스 드로즈 10팩  파우치 2개 세트,33000,63,20,0,10,0,,2024120120,underwears
4476195,댑,[예약배송 12/23 순차출고예정] 윈터 원더랜드 수면 잠옷세트 여성용,28860,56,77,0,11,0,,2024120120,underwears
4474380,베리시,쿨핏 브라 볼륨핏 PLUS 2PACK,68800,40,17,0,12,0,,2024120120,underwears
4240890,캘빈클라인 언더웨어,남성 CK 마이크로 플러스 로우 라이즈 트렁크 3PK_NP2752O001,48200,43,177,0,13,0,,2024120120,underwears
4439075,캘빈클라인 언더웨어,남성 코튼 스트레치 로우라이즈 트렁크 5PK (3Color),59500,50,180,0,14,0,,2024120120,underwears
4629235,레이지지,스윗 드림 플러피 가디건 팬츠 세트 (베이비 핑크),88900,30,11,0,15,0,,2024120120,underwears
4369872,게스언더웨어,[브라1+팬티2] 에어로쿨 로고 아웃밴드 노와이어 브라팬티세트,38000,56,43,0,16,0,,2024120120,underwears
4568146,코데즈컴바인 이너웨어,블랙밴드 아스킨 드로즈 5PACK,59800,50,16,0,17,0,블랙,2024120120,underwears
4501860,스파오,[담곰이] 포근하담곰 수면 파자마(IVORY)_ SPPPE4TU06,45900,8,57,0,18,0,,2024120120,underwears
4533075,코데즈컴바인 이너웨어,모달 볼륨일체형 노와이어 팬티 세트_멜란지,35000,41,19,0,19,0,,2024120120,underwears
4512936,코데즈컴바인 이너웨어,[5PACK] 데일리 극세사밴드 에어로쿨 드로즈,60000,50,16,0,20,0,,2024120120,underwears
3966498,무신사 스탠다드 우먼,우먼즈 심리스 드로즈 2팩,20690,20,12,0,21,0,,2024120120,underwears
4305615,엘르이너웨어,뉴 에어로쿨 컴포트핏 노와이어 브라 팬티 세트 - 블랙,21900,62,18,0,22,0,블랙,2024120120,underwears
4549604,아르메데스,히트 기모 발열 내의 세트 AR-23+24,15900,50,34,0,23,0,,2024120120,underwears
4337456,아디다스 언더웨어,퍼포먼스 올메쉬 브라팬티 4PACK,79900,57,14,0,24,0,,2024120120,underwears
4262712,캘빈클라인 언더웨어,남성 CK 마이크로 플러스 로우 라이즈 트렁크 3PK_NP2752O0NJ,49400,42,16,0,25,0,,2024120120,underwears
4574813,오프아워,세린 나이트 수면 잠옷 세트 브라운,29800,48,96,0,26,0,브라운,2024120120,underwears
4373933,캘빈클라인 언더웨어,남성 마이크로 스트레치 로우 라이즈 트렁크 3PK_NB2569PSB,50500,43,15,0,27,0,,2024120120,underwears
4356825,무신사 스탠다드,에어웨이트 심리스 드로즈 5팩,37290,15,15,0,28,0,,2024120120,underwears
4494663,스파오,[먼작귀] 먼가 따뜻한 수면 파자마(PURPLE)_SPPPE4TU09,45900,8,35,0,29,0,,2024120120,underwears
4124829,코데즈컴바인 이너웨어,에어로쿨 로고아웃밴드 블랙 드로즈 6PACK,72000,45,0,0,30,0,블랙,2024120120,underwears
3966499,무신사 스탠다드 우먼,우먼즈 심리스 하이라이즈 팬티 3팩,21990,15,20,0,31,0,,2024120120,underwears
4501875,스파오,[담곰이] 포근하담곰 수면 파자마(LIGHT PINK)_ SPPPE4TU06,45900,8,21,0,32,0,,2024120120,underwears
4401384,마른파이브,모달코튼 캡내장 스트링 브라탑나시 2종,15900,11,13,0,33,0,,2024120120,underwears
4249497,모그라미,스킨이즘 남성 드로즈 분모자팬티 4팩,21550,52,12,0,34,0,,2024120120,underwears
4501877,스파오,[리락쿠마] 리락쿠마 수면 파자마(BROWN)_ SPPPF11U05,45900,8,31,0,35,0,brown,2024120120,underwears
4594833,코데즈컴바인 이너웨어,[5PACK] 극세사밴드 베이직 햄팬티 5매,60000,39,19,0,36,0,,2024120120,underwears
4549007,아르메데스,[2PACK] 히트기모 발열 내의 하의 AR-23,14900,53,0,0,37,0,,2024120120,underwears
4202904,파리 생제르맹,남성 시그니처 심리스 드로즈 7팩 파우치 세트,26900,54,18,0,38,0,,2024120120,underwears
4474999,게스언더웨어,텐더 코튼 브라렛 팬티 세트 - 블랙,35000,42,18,0,39,0,블랙,2024120120,underwears
4378728,도로시와,풀샷브라 심리스 컴포트(2TYPE)_10colors,26600,34,18,0,40,0,,2024120120,underwears
